BusinessID,anurag,alisa,dixin,ronnie (haining),minyi,anthony,vignesh,alex,tuan ,yuxuan,bingjie,xiaoran,ruixuan,hongbo,chen,jimmy,keerat,yulin
00003A17,36821.38606,2743840,582091.6,337733.12,3997582.372,8317.682693,8454.87,603020.46,3743.259828,1212807.1,339141.5126,363714.2569,26455.02214,109613.5313,72380.0245,536265.9881,333972.1383,61240
00003A35,18490.57648,1812160,384871.5,269487.97,3997582.372,6999.943105,10025.06,360911.2,3078.461181,1284786.2,218810.5682,229220.8762,18947.30963,111079.4845,44180.19804,661692.8597,215327.6202,50258
0006A149,19598.98789,2422360,535389.6,327063.5,3997582.372,5002.352027,3015.98,533922.4,2514.409051,1403261.8,288819.46,332168.0731,17215.55022,75948.20456,65113.24023,3683759.057,952600,47272
0000A221,10717.13454,4304800,1056822,465829.94,3997582.372,4061.753739,2212.84,1019988.53,2615.79758,1602149.5,523377.8343,572894.7781,39109.50292,105371.1626,23278.60082,75256.36699,772700,22394
0001A225,15577.8847,1907200,483963,197485.75,3997582.372,11707.14701,2257.46,409178.58,2457.049325,1112695.6,233031.016,262324.2658,24985.877,66578.03268,58074.71754,608759.7506,5000,41001
0006A238,29676.50817,1858960,393784.3,271971.53,3997582.372,4250.892664,5034.01,389294.75,5363.534287,1189816.1,218024.4289,241179.2189,25678.98486,46626.75647,61296.92572,703885.846,120354.3042,21382
0005A383,25921.92486,3388960,695472.9,106757.53,3997582.372,4642.444165,2454.76,659630.98,2544.011904,1524998.2,406645.2303,463501.7585,25467.80871,125494.8396,73354.14691,598228.8527,5000,40934
0005A594,1366.407228,1505080,318781.4,185385.19,3997582.372,9692.399975,4883.76,342838.35,2126.951312,1074998.6,183081.6422,192763.097,29608.98125,28438.88621,61308.31261,2308190.508,303477.617,58616
0005A842,1343.411509,1464040,320243.2,186495.3,3997582.372,13968.77008,1828.8,294993.63,2013.133831,1248833.5,174180.7378,187316.4243,33477.14767,25617.18836,39661.55004,1893459.38,776800,44263
0004A920,9065.780044,873640,239248.8,105653.234,3997582.372,3649.708015,3441.16,206137.97,2122.410639,1120337.2,97579.38075,111040.0455,26072.70611,105054.8366,44494.45885,698123.4835,5000,45215
0004A922,23882.96624,2011600,560734,318692.97,3997582.372,7291.206799,2182.83,425418.11,3150.079931,1315327.2,246188.5334,263454.8516,46159.12405,104430.4947,60768.57015,1029166.328,1347400,29386
0002A923,22967.97579,2866600,663864,289465.12,3997582.372,7228.492989,5977.48,617980.9,2983.518882,1458248.1,352246.0573,393421.8837,21490.32961,106942.1725,62556.38008,773349.4506,1055900,44389
001A1037,25047.07155,3454840,879769.8,135322.9,3997582.372,7375.582156,8466.38,804697.8,2583.553441,1368263.4,414758.0566,472875.9721,28886.99933,65907.60369,42389.87067,279731.8522,5000,60599
007A1121,11041.11613,1398520,286491.6,143453.67,3997582.372,6844.697972,2112.49,272759.52,2292.977281,1192448.2,168170.215,188401.9332,46279.27522,54574.9466,64094.23839,1298625.142,5000,46827
006A1175,1319.42949,1081720,217344.8,120321.58,3997582.372,24504.68091,1765.38,264848.54,2093.133331,1008959.25,130594.1436,136912.2632,26037.99351,52289.32118,37399.5979,4739882.884,180138.5163,40633
006A1236,150335.6738,5798800,1214317,1537299.2,3997582.372,9731.430174,2100.9,1439112.13,16014.07092,1606736,699213.065,805787.9243,47750.73597,99775.11794,47745.37795,20650.67009,142268.3103,22746
005A1491,25342.7965,2864440,735745,292722.78,3997582.372,16527.9773,10237.6,638877.82,2936.091966,1268168.6,352148.4038,364334.6327,24815.75117,104598.7605,30151.03711,1012161.257,862900,25773
004A1558,1250,3500200,902016,256264.05,3997582.372,9646.243978,9739.43,697734.61,2330.261282,1352604,411874.8814,427448.3495,38474.68195,54112.91006,66045.31426,389680.3525,1255400,50627
006A1667,8855.412546,1064080,262521.7,65087.406,3997582.372,6583.46187,3928.5,272719.98,2049.308094,1172226.5,127279.1545,130160.7084,37437.63838,112819.4601,74495.16036,2607669.414,1109100,20919
004A1728,20744.07401,1918000,523447.5,212390.03,3997582.372,5379.79471,3844.19,435873.32,2577.119344,1255863.8,234433.4922,279513.7255,36895.01379,63995.49824,67927.78406,888019.9194,255836.4524,50356
003A2016,16533.67389,1490320,381431.4,161912.22,3997582.372,12976.76438,1921.24,314508.28,1890.803177,1081930.4,166538.988,185676.9697,25501.13853,100463.9585,59993.82757,4815839.33,879400,75826
004A2103,1250.000001,3686680,882515.6,203042.69,3997582.372,13662.31269,9122.08,948858.3,2104.685025,1387632,441264.1185,485648.6411,26187.90918,103015.7827,34857.95563,1154216.336,927000,155691
001A2285,23036.22894,1000,1056294,623491.5,3997582.372,11896.46365,3981.67,994455.5,2666.434538,1482477.8,547398.8903,614752.2298,22596.97405,26702.03997,39195.88919,91597.18309,83018.20587,35204
004A2306,44325.80613,2131480,594167.2,104883.625,3997582.372,9613.925933,4213.6,539041.21,7050.035067,1210866.2,260213.4572,285675.1244,22102.86698,61722.52244,37691.66552,2313973.671,123308.5201,52913
003A2352,15823.5409,3576160,993100,610898.6,3997582.372,7076.283594,2075.81,731792.98,2265.056873,1382797.4,422003.4305,481797.9288,41514.54418,108445.9723,71879.86791,366844.34,5000,20155
008A2402,1250,1648720,403233.7,172818.66,3997582.372,13357.6068,4666.71,407422.36,4559.988624,1085028,191926.5393,215387.3143,29596.75924,106260.5238,28278.32636,3870184.74,954900,39197
005A2531,11457.39226,2064880,526862.7,469261.38,3997582.372,27190.34374,1798.62,407248.74,2209.920556,1280226.5,240410.087,272249.9827,33172.18436,92522.0873,24766.59299,1022964.451,253312.3921,43487
002A2838,15129.75526,2240200,579082,494490.5,3997582.372,5816.658564,2209.2,446832.96,2387.524625,1294879.5,270908.8471,302821.3783,21880.46743,93018.53856,36404.78781,1072131.969,5000,23430
007A2846,36284.87627,5143600,1087088.5,668755,3997582.372,17657.33436,5329.96,1229075.26,3610.745315,1757914.1,631748.5731,718744.7888,37852.13532,70564.30304,42321.1938,87972.39771,5000,50544
004A3071,1250.000001,2852560,615461.7,342783.53,3997582.372,13467.43255,3798.68,661269.48,2496.954346,1407300.5,352507.5377,382258.4561,43275.64772,94649.955,51560.06716,924415.576,5000,40362
006A3101,1250.000002,4293640,1179283.6,374380.38,3997582.372,14244.39469,3260.64,1099976.1,2741.893861,1406135.9,529143.2807,584857.0874,33390.83152,70310.44207,63595.49608,548812.961,1005300,19630
003A3255,17466.80944,3049480,704537.6,238986.84,3997582.372,13286.66512,5739.01,730513.31,2522.247235,1351027.5,365902.1762,408240.2885,34852.68729,66961.45032,72222.9939,346895.1568,1055800,38535
007A3266,49374.47163,3114280,746322.4,334415.47,3997582.372,17405.94849,2428.01,730655,3460.135735,1404602.5,379358.2202,410710.1865,40564.30906,78911.60315,31964.6892,1037050.042,977900,46776
008A3268,31971.38837,1750960,411726.7,236041.39,3997582.372,14856.08652,2052.79,426233.53,4718.546493,1091662.9,204993.4905,232466.4639,30435.31982,85819.47036,35867.08057,1207229.942,5000,58262
003A3327,1250.000002,4589560,920261.2,857619.7,3997582.372,17304.94361,5969.34,1090472.81,2409.816418,1652276.5,556985.3977,626854.6959,31557.92105,109787.9839,71549.63452,292010.7287,5000,44928
005A3329,1250.000001,3426040,809641.4,442541.4,3997582.372,6343.288355,2823.93,786407.36,2195.647008,1485578.4,411810.8105,449993.5591,34970.39191,85439.12756,66548.92498,205097.7552,1438200,57850
005A3332,1332.587609,2500480,546414.1,202393.2,3997582.372,9048.305207,1802.85,583947.53,2925.667522,1333721,309672.1886,345658.0809,47176.99043,34213.42621,68380.72491,1014268.648,120354.3042,23210
006A3371,16751.9491,1701280,422236.2,439771.56,3997582.372,16858.09305,9325.21,444469.18,2343.580459,1259488.5,201885.3847,230140.3338,30330.99674,65572.6077,53433.09665,1206231.652,5000,22956
007A3429,24253.30456,3657880,959931,391354.66,243693.5265,25794.46317,303370.2,896068.01,2850.855507,1314858.8,447212.5569,504134.6864,46226.61603,63639.80131,54926.28377,4056036.892,5000,35863
002A3457,21198.51663,2491480,592180.8,387141.78,3997582.372,21780.88321,7121.09,505514.11,2399.557617,1398960.8,304303.3901,333422.8987,44488.91213,51222.2483,51482.97331,798715.3882,147715.1842,74760
007A3633,9258.207202,1304200,274034,179881.72,3997582.372,11247.56152,1740.09,342215.36,2261.481328,1041262.56,155164.5946,175247.7531,27406.95103,138911.3595,48713.84791,648379.8237,5000,38584
001A3951,37128.50922,2626480,716901.9,321840.3,3997582.372,16168.11502,3420.14,674972.82,6158.15677,1396650.4,324277.8141,363458.079,34920.21982,67316.00863,62391.41161,727889.7289,1090100,27756
005A4027,9979.440764,1306000,279850,229513.72,3997582.372,18685.64315,1812.25,291690.42,1910.71102,1228996.2,145801.844,156584.7219,33342.94159,39249.36897,34058.37822,548735.5878,5000,92183
008A4028,14178.22605,1570960,389873.4,179322.4,3997582.372,8048.895889,1946.99,357597.67,2573.339718,1207476.5,194620.5293,212546.3271,72199.75949,88043.89945,71544.98777,1650043.599,81572.47282,53777
005A4123,12452.26737,1392760,298455.2,141477.48,3997582.372,8993.909262,2115.4,358674.32,2161.002036,1157081.6,164779.5508,189316.4589,69086.80738,87600.8397,34033.64435,141980023.9,187237.9453,25734
000A4136,13431.05985,1165240,237375.6,114435.03,3997582.372,23183.63015,2488.51,250593.11,2091.872176,1141038.5,135135.0332,161348.5414,55659.38749,69697.51035,40216.91895,979999.6868,1209200,59176
005A4164,18819.95128,1000,783580.8,578760.4,3997582.372,13344.24514,2460.79,772964.34,2193.489288,1575853.4,447848.4107,523450.7388,31913.46318,88250.19192,66969.87104,92680.61446,98998.45608,31640
003A4223,34445.98806,2069920,495966.1,198799.66,3997582.372,3877.216361,5176.01,507560.78,3989.996792,1308705,245136.8582,286784.1017,41275.57469,124128.3581,48869.11858,788791.1454,5000,38089
005A4241,14798.58191,1290880,292731.1,108429.19,3997582.372,9828.871704,2851.08,261769.12,1930.485072,1241184.8,146244.8147,159995.1814,31292.4662,80229.05651,69642.92654,1114522.934,995800,35468
004A4353,12961.40054,1386280,345165.6,253963.06,3997582.372,17017.18221,3276.47,317503.83,2267.013774,1170035,165569.8953,175425.9955,28600.36631,90991.50103,36782.0326,1856378.692,1385500,32249
002A4379,18989.33187,3487960,884331.8,425820.44,3997582.372,13181.90405,2006.98,868816.68,2671.082561,1425575,420061.0148,469445.8168,31671.31893,98254.76599,67615.07653,312935.5127,5000,63915
004A4389,51121.00622,5365360,1275525.6,1577582.5,3997582.372,11030.18488,12490.91,1200465.1,3332.276239,1608768.2,643311.0335,744153.2036,38576.51895,115630.4197,58179.06001,100586.2464,184454.8219,20740
002A4434,142188.6071,3889720,910608.6,44515,91691.33438,18196.04736,121606.59,840044.9,25156.6499,1511852.8,474453.7435,567809.7482,47355.7545,79132.63063,38368.81451,327876.6687,799700,69427
007A4437,44752.99661,2349280,494443.4,296740.22,3997582.372,20424.12967,11125.5,490130.52,8115.675769,1393657,285737.6086,314844.3406,37968.13543,55509.87263,28921.26045,718603.6428,5000,21619
007A4742,1250,2111320,550441.8,351768.62,3997582.372,10851.57248,2471.07,431454.65,3133.830919,1334350.6,261407.3722,259796.8687,41434.64103,94834.31232,61579.34592,1058401.938,1299000,24236
004A4821,1250.000001,3294640,688919.7,288200.2,3997582.372,18164.88601,2572.6,670718.53,2043.862291,1363097.5,388265.7918,432061.085,41913.03302,108739.8823,76813.14519,149370.4904,5000,25920
003A4928,27212.15258,2398240,656577.4,275901.72,3997582.372,14335.47395,2292.2,539215.57,3334.98776,1330899.4,297854.927,328731.9969,42101.75666,70232.92739,51712.73497,685153.6823,92638.73382,69244
008A4944,2586.771146,1955800,536484,286806.8,3997582.372,18419.11005,8826,397768.68,4554.357467,1337568.8,228427.7769,257159.347,35527.22838,51196.36763,76117.2196,1409688.846,114482.0158,35411
007A5076,12184.16432,963280,254202.3,131673.86,3997582.372,44573.01512,1907.21,217247.2,1956.675884,1085431.9,109381.2188,118187.1392,32762.67088,74653.72943,81845.09672,2186163.48,152741.892,47563
