BusinessID,premium_charged,ClaimAmount,awarded
00003A17,25364.62,0.0,0
00003A35,30075.18,6165.141234,0
0006A149,9047.93,0.0,1
0000A221,6638.51,0.0,0
0001A225,6772.38,0.0,0
0006A238,15102.04,0.0,0
0005A383,7364.29,23379.369722,0
0005A594,14651.27,0.0,0
0005A842,5486.4,0.0,0
0004A920,10323.48,0.0,0
0004A922,6548.48,0.0,0
0002A923,17932.45,501178.1824,0
001A1037,25399.14,0.0,0
007A1121,6337.46,0.0,0
006A1175,5296.14,13240.93048,0
006A1236,6302.71,0.0,1
005A1491,30712.8,29557.26528,0
004A1558,29218.3,0.0,0
006A1667,11785.51,0.0,0
004A1728,11532.56,0.0,0
003A2016,5763.72,0.0,0
004A2103,27366.23,0.0,0
001A2285,11945.02,0.0,0
004A2306,12640.79,0.0,0
003A2352,6227.43,0.0,0
008A2402,14000.14,0.0,0
005A2531,5395.85,0.0,0
002A2838,6627.61,52804.1727,0
007A2846,15989.87,0.0,0
004A3071,11396.04,0.0,0
006A3101,9781.91,0.0,0
003A3255,17217.04,0.0,0
007A3266,7284.03,0.0,0
008A3268,6158.37,0.0,0
003A3327,17908.02,0.0,0
005A3329,8471.78,0.0,0
005A3332,5408.54,0.0,0
006A3371,27975.64,0.0,0
007A3429,910110.6,0.0,0
002A3457,21363.26,0.0,0
007A3633,5220.28,0.0,0
001A3951,10260.43,0.0,0
005A4027,5436.76,0.0,0
008A4028,5840.97,0.0,0
005A4123,6346.21,0.0,0
000A4136,7465.54,0.0,0
005A4164,7382.36,140520.9221,0
003A4223,15528.03,0.0,0
005A4241,8553.25,0.0,0
004A4353,9829.41,0.0,0
002A4379,6020.93,0.0,0
004A4389,37472.74,0.0,0
002A4434,364819.8,0.0,0
007A4437,33376.5,0.0,0
007A4742,7413.2,0.0,0
004A4821,7717.81,0.0,0
003A4928,6876.6,0.0,0
008A4944,26478.02,0.0,0
007A5076,5721.64,0.0,1
001A5197,11412.68,0.0,1
006A5235,18376.51,0.0,0
002A5398,16175.05,0.0,0
003A5675,6211.06,0.0,0
003A5676,9181.04,0.0,0
003A5736,5559.52,0.0,0
002A5901,10096.62,0.0,0
005A5953,13675.08,0.0,0
005A5970,8122.4,0.0,0
006A6056,8764.31,0.0,0
008A6209,11921.48,0.0,0
003A6333,16211.4,0.0,0
006A6492,6105.41,0.0,0
008A6587,5468.91,0.0,0
004A6708,7535.64,0.0,0
007A7016,5507.15,91086.63142,0
001A7093,8970.6,0.0,0
001A7266,14623.5,47274.48982,0
003A7273,8291.72,0.0,0
002A7322,33370.64,0.0,0
